geneID	WT_Lac1	Mut_Lac1	WT_LNnT1	Mut_LNnT1	WT_Lac2	Mut_Lac2	WT_LNnT2	Mut_LNnT2	WT_Lac3	Mut_Lac3	WT_LNnT3	Mut_LNnT3
Blon_1439	2002.9998289036496	1672.9975070528328	2195.0033817707817	2807.0043665023013	2662.0048077307283	1987.994655811909	2014.9996244083604	2744.000903600111	1383.9984924414014	1758.999684361194	1392.9983051506235	1996.0000967927494
Blon_1440	1471.9980110055587	1307.0007435841346	1785.0003100830222	2006.99720270828	1970.003596184459	1514.9991986245068	1658.005478068629	2118.0038120662803	1260.9983777528748	1278.0001689212547	1259.9995242471539	1583.0042965939806
Blon_1441	683.001395623663	502.0018468967723	683.9978753727952	872.9988610493472	861.997925300076	632.0018704294688	622.9992230556736	811.9999673807878	457.00080759444245	527.999331383911	413.99926992560404	598.0001472853744
Blon_1443	638.0022218622421	777.9981401347337	997.9978065941657	977.9987905182204	949.001009870645	938.0017368242117	841.9982208892085	975.9999989066016	484.9995719932466	791.0018721993664	545.0020937940454	601.9997225494196
Blon_1444	246.0002640190914	274.99976720410507	354.99960700896213	352.9997543679032	326.00040260566294	328.9997400509447	326.0003524780983	353.0003347525145	167.99983467656352	282.0003541074517	203.00002752365103	233.99986716466302
Blon_1445	1090.001859211664	1217.0024238375936	1449.997579114748	1441.9988764934071	1626.9983681153808	1396.0015990534241	1346.9984294527994	1484.0011142946382	825.0007458638684	1089.0008986665498	850.0014934964174	956.9991541601654
Blon_1446	999.9981655611982	943.0036059908712	1201.9975650841027	1338.9967787562712	1359.9985234002827	1216.9971252129517	1316.0003181302577	1372.999163826648	868.9997879604292	1069.0008957540092	942.0022903192274	1072.000521817385
Blon_1447	970.9976193604299	1077.0031033653304	1229.999935031109	1233.9975752832668	1393.001115551148	1181.9972468034227	1039.0014360831783	1258.9998766900685	590.0003953784133	949.0010682745225	686.0008373496039	779.0010479412329
Blon_1448	1739.003101453528	1793.0034608012195	2141.9982745581087	2413.998744997295	2495.9966582213647	2159.001604895613	2177.004736612096	2417.9979177649006	1324.99999198018	1816.002292889585	1445.0020376958823	1758.002409174016
Blon_1449	2802.99839020727	2728.006236688916	3372.9961520440224	3969.9952987346883	3731.9991909197993	3339.001305178553	3453.9977313859345	4099.998698231488	2296.002736185874	2807.9995910342086	2346.004559617573	3015.003561520113
Blon_1450	491.99934018793704	509.99993327873153	567.0000498908286	737.9992667625747	635.9987628267844	612.9989405765268	651.0010165076255	717.0006207219745	402.00014255917876	508.999411853234	294.9994763360427	416.9995142216845
Blon_1451	1258.00185989907	1482.0013633630194	1766.0032155537417	2092.998827608211	1770.997540058807	1761.0023618956877	1755.0001962003926	2084.997242232697	1082.0013815419536	1457.0005957890673	1164.0003885525275	1592.9997263234416
Blon_1452	5516.003546578991	6015.003514049901	7844.007786708833	5671.9922806608065	7787.000252519183	7070.992167061603	7205.015719373759	5830.012883980144	4302.992750210078	5864.006832490079	4705.996877332239	4014.0027871801376
Blon_1453	6850.014965849954	6506.002538330365	9522.018542350621	7616.017463823786	9649.964737176677	7713.998380410623	9037.983965914013	7565.991968463441	5662.0036744673525	6475.003973819734	5499.979919004348	5107.011993920983
Blon_1454	7730.989791376815	7348.9875693105605	11245.985373281008	11109.024710313715	10935.014635546406	8856.03298067439	9912.031987321456	11235.997293559438	5189.001138799211	7309.023147323425	6788.017555551548	7175.001852795758
