target_id	length	eff_length	est_counts	tpm
Blon_0454	705	506	1148	250.765
Blon_0455	738	539	919	188.453
Blon_0456	498	299	44	16.2651
Blon_0457	348	149	11	8.15985
Blon_0458	1278	1079	57	5.83887
Blon_0459	2022	1823	240	14.5512
Blon_0460	870	671	47	7.74196
Blon_0463	660	461	36	8.63132
Blon_0464	1263	1064	269	27.9438
Blon_0465	363	164	22	14.827
Blon_0466	399	200	21	11.6055
Blon_0467	1425	1226	130	11.72
Blon_0468	804	605	30	5.48077
Blon_0469	594	395	11	3.07802
Blon_0470	2658	2459	49	2.20249
Blon_0471	744	545	30	6.08415
Blon_0472	1374	1175	161	15.1448
Blon_0473	1437	1238	165	14.7312
Blon_0474	753	554	85	16.9584
Blon_0475	1752	1553	135	9.60811
Blon_0476	429	230	129	61.9922
Blon_0477	273	74.0093	13	19.4148
Blon_0478	1590	1391	158	12.5547
Blon_0479	213	22.4695	13	63.9477
Blon_0480	609	410	92	24.8016
Blon_0481	708	509	68	14.7661
Blon_0482	1326	1127	119	11.6707
Blon_0483	270	71.016	1	1.55639
Blon_0484	543	344	12	3.85566
Blon_0485	546	347	20	6.37054
Blon_0486	942	743	80	11.9008
Blon_0487	789	590	74	13.8629
Blon_0488	261	62.0706	106	188.754
Blon_0489	612	413	20	5.35249
Blon_0490	672	473	28	6.54293
Blon_0491	1185	986	20	2.24196
Blon_0492	1695	1496	19	1.40378
Blon_0493	1290	1091	38	3.84977
Blon_0494	465	266	18	7.47939
Blon_0495	1215	1016	50	5.43941
Blon_0496	1203	1004	40	4.40354
Blon_0497	1242	1043	78	8.26582
Blon_0498	1356	1157	393	37.5435
Blon_0499	1266	1067	24	2.48612
Blon_0500	1161	962	998	114.665
Blon_0501	663	464	559	133.159
Blon_0502	576	377	14	4.10452
Blon_0504	381	182	4	2.4292
Blon_0505	825	626	10	1.76564
Blon_0506	207	19.5103	0	0
Blon_0507	360	161	43	29.5201
Blon_0508	579	380	57	16.5793
Blon_0509	1302	1103	199	19.9413
Blon_0510	663	464	166	39.5426
Blon_0511	405	206	18	9.65786
Blon_0512	687	488	74	16.7605
Blon_0513	1053	854	82	10.6128
Blon_0514	729	530	48	10.0102
Blon_0515	1113	914	49	5.92551
Blon_0516	726	527	336	70.47
Blon_0517	657	458	1134.43	273.77
Blon_0518	729	530	941	196.241
Blon_0519	627	428	785	202.722
Blon_0520	720	521	332	70.4329
Blon_0521	1206	1007	290	31.8305
Blon_0522	873	674	203	33.2898
Blon_0523	672	473	62	14.4879
Blon_0524	4443	4244	211	5.49519
Blon_0525	741	542	511	104.207
Blon_0526	1206	1007	605	66.4051
Blon_0527	258	59.1108	17	31.7876
Blon_0528	435	236	31	14.5186
Blon_0529	240	42.049	22	57.8286
Blon_0530	597	398	79	21.9391
Blon_0531	528	329	73	24.5246
Blon_0532	1215	1016	229	24.9125
Blon_0533	156	7.59116	0	0
Blon_0534	174	9.99669	0	0
Blon_0535	279	80.003	196	270.786
Blon_0536	465	266	339	140.862
Blon_R0019	75	3.59105	0	0
Blon_0537	861	662	654	109.193
Blon_0538	1014	815	2559	347.047
Blon_R0020	74	3.56892	0	0
Blon_R0021	76	3.6135	0	0
Blon_0539	1305	1106	330	32.9788
Blon_0540	1152	953	8790	1019.46
Blon_0541	927	728	611	92.7653
Blon_0542	1653	1454	2030	154.315
Blon_0543	1224	1025	1447	156.034
Blon_0544	918	719	625	96.0786
Blon_0545	1674	1475	873	65.4181
Blon_0546	1491	1292	1058	90.5104
Blon_0547	1167	968	405	46.244
Blon_0548	564	365	2464	746.145
Blon_0549	2094	1895	12448	726.049
Blon_0550	582	383	928	267.809
Blon_0551	876	677	1513	247.016
Blon_0552	1413	1214	2149	195.656
Blon_0553	528	329	827	277.834
Blon_0554	906	707	804	125.693
Blon_0555	1680	1481	3437	256.507
Blon_0556	369	170	144	93.6244
Blon_0558	1188	989	282	31.5158
Blon_0559	753	554	89	17.7564
Blon_0560	843	644	124	21.2819
Blon_0561	3030	2831	842	32.8736
Blon_0562	618	419	154	40.624
Blon_0563	1200	1001	0.00984401	0.00108696
Blon_0564	1767	1568	2035	143.448
Blon_R0022	77	3.63627	0	0
Blon_0565	951	752	3127	459.606
Blon_0567	849	650	194	32.9886
Blon_0568	420	221	99	49.5129
Blon_0569	801	602	79	14.5046
Blon_0570	303	104	24	25.5066
Blon_0571	180	11.1077	9	89.5555
Blon_0572	498	299	342	126.424
Blon_0573	1389	1190	1137	105.606
Blon_R0023	74	3.56892	0	0
Blon_0574	213	22.4695	3552	17472.5
Blon_0575	1089	890	1718	213.358
Blon_0576	885	686	360	58.0035
Blon_0577	1188	989	1401	156.573
Blon_0578	924	725	914	139.343
Blon_0579	1083	884	1228	153.54
Blon_0580	864	665	1171	194.63
Blon_0581	705	506	792	173.002
Blon_0582	702	503	1120	246.108
Blon_0583	1284	1085	1352	137.728
Blon_0584	1554	1355	11936	973.632
Blon_0585	651	452	1324	323.761
Blon_0586	1419	1220	1471	133.269
Blon_0588	420	221	5	2.50065
Blon_0589	1815	1616	4065	278.032
Blon_0590	744	545	226	45.834
Blon_0591	2175	1976	5051	282.531
Blon_0592	981	782	2422	342.328
Blon_0593	783	584	3778	715.031
Blon_0594	1293	1094	898	90.7266
Blon_0595	1020	821	1010	135.973
Blon_0596	1086	887	516	64.2986
Blon_0597	4272	4073	1379	37.4219
Blon_0598	483	284	42	16.3458
Blon_0599	306	107	131	135.32
Blon_0600	516	317	179	62.4122
Blon_0601	1056	857	335	43.2055
Blon_0602	1224	1025	542	58.4455
Blon_0605	1113	914	825	99.7662
Blon_R0024	73	3.5471	0	0
Blon_0606	429	230	211	101.398
Blon_0607	1857	1658	637	42.4649
Blon_0608	525	326	378	128.159
Blon_0609	1173	974	477	54.1296
Blon_0610	303	104	158	167.919
Blon_0611	1359	1160	665	63.3635
Blon_0612	2409	2210	8212	410.707
Blon_0613	729	530	443	92.3854
Blon_0614	5115	4916	4438	99.7817
Blon_0615	588	389	688	195.485
Blon_0616	1305	1106	1304.42	130.358
Blon_0617	1278	1079	3059	313.353
Blon_0619	288	89.0004	44	54.6432
Blon_0620	402	203	101	54.9922
Blon_0621	1206	1007	151	16.5738
Blon_0622	1356	1157	393	37.5435
Blon_0623	366	167	25	16.5462
Blon_0624	588	389	211	59.9526
Blon_0625	2271	2072	1034	55.1577
Blon_0626	2202	2003	211	11.6433
Blon_0627	915	716	42	6.48353
Blon_0628	1878	1679	83	5.4639
Blon_0629	1419	1220	40	3.6239
Blon_0630	1488	1289	48	4.11589
Blon_0631	1812	1613	71	4.86519
Blon_0632	825	626	27	4.76722
Blon_0633	666	467	201	47.5724
Blon_0634	2169	1970	604	33.888
Blon_0635	1959	1760	1292	81.1382
Blon_0636	2016	1817	2107	128.17
Blon_0637	1041	842	272	35.7053
Blon_0638	939	740	4256	635.69
Blon_0639	1416	1217	4218	383.082
Blon_0640	981	782	2171	306.852
Blon_0641	1011	812	484	65.8817
Blon_0642	759	560	163	32.1718
Blon_0643	912	713	241	37.3597
Blon_0644	945	746	258	38.2258
Blon_0645	684	485	257	58.5689
Blon_0646	2283	2084	1286	68.2054
Blon_0647	1569	1370	213	17.1844
Blon_0648	957	758	54	7.87408
Blon_0649	2145	1946	330	18.7433
Blon_0650	855	656	119	20.0502
Blon_0651	969	770	262	37.6085
Blon_0652	1212	1013	755	82.3783
Blon_0653	3312	3113	9134	324.308
Blon_0654	366	167	19	12.5751
Blon_0655	927	728	66	10.0205
Blon_0656	1119	920	126	15.1376
Blon_0657	828	629	94	16.5178
Blon_0658	393	194	58	33.0447
Blon_0659	489	290	64	24.3926
Blon_0660	288	89.0004	7	8.69323
Blon_0661	1533	1334	703	58.2472
Blon_0662	222	27.8721	6	23.7934
Blon_0664	1020	821	266	35.8108
Blon_0665	1014	815	122	16.5454
Blon_0666	1971	1772	379	23.6402
Blon_0667	1248	1049	219	23.0751
Blon_0668	1395	1196	149	13.7699
Blon_0669	1431	1232	77	6.90805
Blon_0670	429	230	18	8.65008
Blon_0671	288	89.0004	22	27.3216
Blon_0672	681	482	65	14.9053
Blon_0674	648	449	127	31.2632
Blon_0675	783	584	237	44.855
Blon_0676	435	236	1398.31	654.887
Blon_0677	384	185	37	22.1058
Blon_0679	282	83.0016	7108	9465.34
Blon_0680	2562	2363	1619	75.7284
Blon_0681	1437	1238	2994	267.305
Blon_0682	366	167	22	14.5607
Blon_0683	1548	1349	105	8.60306
Blon_0684	348	149	19	14.0943
Blon_0685	552	353	215	67.3193
Blon_0686	1032	833	676	89.6969
Blon_0687	1059	860	754	96.9055
Blon_0688	552	353	336	105.206
Blon_0689	951	752	860	126.403
Blon_0690	1080	881	1096	137.502
Blon_0691	690	491	392	88.243
Blon_0692	684	485	1088	247.949
Blon_0693	240	42.049	1137	2988.69
Blon_0694	1626	1427	31574	2445.58
Blon_0695	291	92.0002	61	73.2852
Blon_0696	807	608	591	107.438
Blon_0697	732	533	3784	784.692
Blon_0698	1992	1793	6055	373.258
Blon_0699	390	191	1055	610.513
Blon_0700	1188	989	3145	351.479
Blon_0701	966	767	1315	189.499
Blon_0702	2586	2387	10400	481.567
Blon_0703	1794	1595	239	16.562
Blon_0704	1473	1274	5991	519.763
Blon_0705	1401	1202	2908	267.402
Blon_0706	1800	1601	8761	604.836
Blon_0707	972	773	92	13.1548
Blon_0708	306	107	4	4.13192
Blon_0709	816	617	1542	276.232
Blon_0710	840	641	1586	273.477
Blon_0711	678	479	980	226.134
Blon_0712	1101	902	1660	203.412
Blon_0713	1533	1334	101	8.36837
Blon_0714	1086	887	725	90.342
Blon_0715	2568	2369	1570	73.2504
Blon_0716	1398	1199	757	69.7834
Blon_0717	1458	1259	568	49.8653
Blon_0718	987	788	721	101.131
Blon_0719	675	476	546	126.783
Blon_0720	366	167	462	305.774
Blon_0721	306	107	214	221.058
Blon_0722	2433	2234	772	38.1953
Blon_0723	654	455	393	95.4677
Blon_0724	1023	824	1271	170.488
Blon_0725	768	569	4858	943.671
